person,gender,age,became_member_on,bmo_year,income,amount_sum,amount_mean,offer received,offer viewed,offer completed,age_group,income_group,bogo,discount,informational,chance bogo,chance discount,chance informational,Cluster
0009655768c64bdeb2e877511632db8f,M,33,2017-04-21,2017,72000.0,127.6,15.95,5.0,4.0,3.0,Youth,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 2
0020c2b971eb4e9188eac86d93036a77,F,59,2016-03-04,2016,90000.0,196.86,24.6075,5.0,3.0,3.0,Older,Upper-Middle,50.0,50.0,0.0,Low,Low,Low,Cluster 0
0020ccbbb6d84e358d3414a3ff76cffd,F,24,2016-11-11,2016,60000.0,154.04999999999995,12.8375,4.0,4.0,3.0,Youth,Lower-Middle,100.0,100.0,100.0,High,High,High,Cluster 2
003d66b6608740288d6cc97a6903f4f0,F,26,2017-06-21,2017,73000.0,48.34,2.6855555555555566,5.0,4.0,3.0,Youth,Lower-Middle,50.0,66.66666666666667,100.0,Low,High,High,Cluster 1
00426fe3ffde4c6b9cb9ad6d077a13ea,F,19,2016-08-09,2016,65000.0,68.50999999999999,4.0299999999999985,5.0,2.0,1.0,Youth,Lower-Middle,50.0,25.0,100.0,Low,Low,High,Cluster 2
004b041fbfe44859945daa2c7f79ee64,F,55,2018-05-08,2018,74000.0,138.36,23.06,3.0,2.0,2.0,Older,Lower-Middle,100.0,100.0,0.0,High,High,Low,Cluster 0
004c5799adbf42868b9cff0396190900,M,54,2016-03-31,2016,99000.0,347.37999999999994,28.94833333333333,5.0,4.0,5.0,Older,Upper-Middle,66.66666666666667,50.0,50.0,High,Low,Low,Cluster 0
005500a7188546ff8a767329a2f7c76a,M,56,2017-12-09,2017,47000.0,20.360000000000007,5.090000000000002,5.0,3.0,1.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
0056df74b63b4298809f0b375a304cf4,M,54,2016-08-21,2016,91000.0,144.14,28.828,4.0,3.0,3.0,Older,Upper-Middle,100.0,0.0,100.0,High,Low,High,Cluster 0
00715b6e55c3431cb56ff7307eb19675,F,58,2017-12-07,2017,119000.0,375.12,25.008,6.0,3.0,5.0,Older,High,0.0,0.0,0.0,Low,Low,Low,Cluster 0
0082fd87c18f45f2be70dbcbb0fb8aad,F,28,2017-09-08,2017,68000.0,121.85,17.407142857142855,5.0,4.0,2.0,Youth,Lower-Middle,50.0,50.0,66.66666666666667,Low,Low,High,Cluster 2
